English	French	Spanish	German	Japanese	Chinese	Esperanto	Hindi	Telugu	Kannada	Turkish	Estonian	Serbian	Korean	Finnish	Hungarian	Bulgarian	Tamil	Indonesian	Arabic	Persian	Urdu	Hebrew	Italian	Portuguese	Russian	Ukrainian	Polish	Czech	Dutch	Swedish	Interlingua	Greek	Catalan	Romanian	Vietnamese	Latvian	Lithuanian	Malayalam	Bengali	Thai	Malay	Danish	Norwegian	Icelandic	Croatian	Slovak	Slovene	Swahili	Welsh	Basque	Armenian	Georgian	Khmer	Burmese	Albanian	Afrikaans	Galician	Tagalog	Macedonian	Azerbaijani	Marathi	Nepali	Belarusian	Irish	Lao	Mongolian	Sinhala
psi squared	psi au carré	psi al cuadrado	Psi Quadrat	プサイの二乗	psi 的平方	psi kvadrata	साई स्क्वायर (psi squared)	ప్సై వర్గం	ಪ್ಸೈ ವರ್ಗ	psi kare	psi ruut	psi na kvadrat	프사이 제곱	psi neliö	psi négyzet	пси на квадрат	psi வர்க்கம்	psi kuadrat	مربع psi	پسی به توان دو	سائی اسکوائر	פסי בריבוע	psi quadro	psi ao quadrado	пси в квадрате	псі у квадраті	psi do kwadratu	psi na druhou	psi in het kwadraat	psi i kvadrat	psi quadrato	ψ²	psi al quadrat	psi la pătrat	psi bình phương	psi kvadrāts	psi kvadratas	ψ²	সাই-এর বর্গ	psi กำลังสอง	psi kuasa dua	psi i anden	psi i andre	psi í öðru	psi na kvadrat	psi na druhú	psi na kvadrat	psi kipeo cha pili	psi sgwar	psi kuadratu	պսիի քառակուսի	psi კვადრატი	psi ការ៉េ	psi နှစ်ထပ်ကိန်း	psi në katror	psi-kwadraat	psi ao cadrado	psi na kuwadrado	пси на квадрат	psi kvadrat	psi चा वर्ग	psi को वर्ग	псі ў квадраце	psi cearnraithe	psi ກຳລັງສອງ	psi-ийн квадрат	psi වර්ගය
Born rule	règle de Born	regla de Born	Bornsche Regel	ボルンの規則	波恩定则	regulo de Born	बोर्न नियम	బోర్న్ నియమం	ಬೋರ್ನ್ ನಿಯಮ	Born kuralı	Borni reegel	Bornovo pravilo	보른 규칙	Bornin sääntö	Born-szabály	правило на Борн	போர்ன் விதி	aturan Born	قاعدة بورن	قاعده بورن	بورن رول	כלל בורן	regola di Born	regra de Born	правило Борна	правило Борна	reguła Borna	Bornovo pravidlo	Born-regel	Borns regel	regula de Born	κανόνας του Μπορν	regla de Born	regula lui Born	quy tắc Born	Borna likums	Borno taisyklė	ബോൺ നിയമം	বর্নের নিয়ম	กฎของบอร์น	peraturan Born	Borns regel	Borns regel	Born-regla	Bornovo pravilo	Bornovo pravidlo	Bornovo pravilo	sheria ya Born	rheol Born	Born-en araua	Բորնի կանոն	ბორნის წესი	ច្បាប់ Born	Born နိယာမ	rregulli i Born-it	Born-reël	regra de Born	tuntunin ni Born	Борново правило	Born qaydası	बॉर्न नियम	बोर्न नियम	правіла Борна	riail Born	ກົດຂອງ ບອນ	Борны дүрэм	බෝන් රීතිය
quantum mechanics	mécanique quantique	mecánica cuántica	Quantenmechanik	量子力学	量子力学	kvantuma mekaniko	क्वांटम यांत्रिकी	క్వాంటం మెకానిక్స్	ಕ್ವಾಂಟಮ್ ಯಾಂತ್ರಿಕಶಾಸ್ತ್ರ	kuantum mekaniği	kvantmehaanika	kvantna mehanika	양자 역학	kvanttimekaniikka	kvantummechanika	квантова механика	குவாண்டம் இயக்கவியல்	mekanika kuantum	ميكانيكا الكم	مکانیک کوانتومی	کوانٹم میکانکس	מכניקת הקוונטים	meccanica quantistica	mecânica quântica	квантовая механика	квантова механіка	mechanika kwantowa	kvantová mechanika	quantummechanica	kvantmekanik	mechanica quantic	κβαντική μηχανική	mecànica quàntica	mecanica cuantică	cơ học lượng tử	kvantu mehānika	kvantinė mechanika	ക്വാണ്ടം മെക്കാനിക്സ്	কোয়ান্টাম বলবিদ্যা	กลศาสตร์ควอนตัม	mekanik kuantum	kvantemekanik	kvantemekanikk	skammtafræði	kvantna mehanika	kvantová mechanika	kvantna mehanika	mekanika ya kwanta	mecaneg cwantwm	mekanika kuantikoa	կվանտային մեխանիկա	კვანტური მექანიკა	មេកានិចកង់ទុយ	ကွမ်တမ် မကင်းနစ်	mekanika kuantike	kwantummeganika	mecánica cuántica	mekanikang quantum	квантна механика	kvant mexanikası	क्वांटम यांत्रिकी	क्वान्टम यान्त्रिकी	квантовая механіка	meicníocs chuantam	ກົນລະສາດຄວອນຕຳ	квант механик	ක්වොන්ටම් යාන්ත්‍ර විද්‍යාව
double-slit experiment	expérience des fentes de Young	experimento de la doble rendija	Doppelspaltexperiment	二重スリット実験	双缝实验	dufenda eksperimento	डबल-स्लिट प्रयोग	ద్వి-స్లిట్ ప్రయోగం	ದ್ವಿ-ಕಂದರ ಪ್ರಯೋಗ	çift yarık deneyi	kahepilu eksperiment	eksperiment sa dva proreza	이중 슬릿 실험	kaksoiraokoe	kétrés-kísérlet	експеримент с два прореза	இரட்டைப் பிளவு சோதனை	eksperimen celah ganda	تجربة الشق المزدوج	آزمایش دو شکاف	ڈبل سلٹ تجربہ	ניסוי הסדקים הכפולים	esperimento della doppia fenditura	experimento da fenda dupla	эксперимент с двумя щелями	експеримент з двома щілинами	eksperyment z dwiema szczelinami	dvouštěbinový experiment	tweespletenexperiment	dubbelspaltsexperiment	experimento de duo fessuras	πείραμα της διπλής σχισμής	experiment de la doble escletxa	experimentul celor două fante	thí nghiệm khe kép	divu šķēlumu eksperiments	dvigubo plyšio eksperimentas	ഡബിൾ സ്ലിറ്റ് പരീക്ഷണം	দ্বি-চির পরীক্ষা	การทดลองช่องคู่	eksperimen celah ganda	dobbeltspalte-eksperiment	dobbeltspalteeksperiment	tvíslitstilraun	eksperiment s dva proreza	experiment s dvojitou štrbinou	poskus z dvema režami	jaribio la nyufa mbili	arbrawf hollt ddwbl	bi-arraketako esperimentua	երկփեղկանի փորձ	ორმაგი ნაპრალის ექსპერიმენტი	ការពិសោធន៍ចន្លោះពីរ	အပေါက်နှစ်ခုစမ်းသပ်ချက်	eksperimenti me dy çarje	dubbele-spleeteksperiment	experimento da dobre fenda	eksperimento ng dobleng siwang	експеримент со два процепи	iki yarıqlı təcrübə	दुहेरी-स्लिट प्रयोग	दोहोरो-स्लिट प्रयोग	эксперимент з дзвума шчылінамі	turgnamh an dá scoilt	ການທົດລອງຊ່ອງຄູ່	хоёр цоорхойн туршилт	ද්වි-සිදුරු පරීක්ෂණය
particle	particule	partícula	Teilchen	粒子	粒子	partiklo	कण	కణం	ಕಣ	parçacık	osake	čestica	입자	hiukkanen	részecske	частица	துகள்	partikel	جسيم	ذره	ذرہ	חלקיק	particella	partícula	частица	частинка	cząstka	částice	deeltje	partikel	particula	σωματίδιο	partícula	particulă	hạt	daļiņa	dalelė	കണിക	কণা	อนุภาค	zarah	partikel	partikkel	eind	čestica	častica	deleček	chembe	gronyn	partikula	մասնիկ	ნაწილაკი	ភាគល្អិត	အမှုန်	grimca	deeltjie	partícula	partikulo	честичка	zərrəcik	कण	कण	часціца	cáithnín	ອະນຸພາກ	бөөм	අංශුව
fringes	franges	franjas	Interferenzstreifen	干渉縞	条纹	franjoj	फ्रिंज	ఫ్రింజెస్	ಫ್ರಿಂಜಸ್	saçaklar	räände	pruge	간섭 무늬	interferenssiraidat	csíkok	интерференционни ивици	பட்டைகள்	rumbai	أهداب	نوارها	فرینجز	פסי התאבכות	frange	franjas	интерференционные полосы	смуги	prążki	interferenční proužky	franjes	fringar	fringes	άκρες παρεμβολής	franges	franje	vân giao thoa	interferenču joslas	juostos	ഫ്രിഞ്ചുകൾ	ফ্রিঞ্জসমূহ	แถบริ้ว	jalur	interferensstriber	interferensstriper	rendur	pruge	prúžky	interferenčne črte	michirizi	fringeunau	marginezko lineak	ինտերֆերենցիոն շերտեր	ზოლები	ឆ្នូតអន្តរាគមន៍	အနားသတ်မျဉ်းများ	brezat	franje	franxas	mga guhit	интерференциски ленти	zolaqlar	कडा	फ्रिन्जहरू	палосы	fringeanna	ແຖບມຶດ-ແຖບສະຫວ່າງ	зурвасууд	අතුරු රේඛා
interference pattern	figure d'interférence	patrón de interferencia	Interferenzmuster	干渉パターン	干涉图样	interferenca modelo	व्यतिकरण पैटर्न	వ్యతికరణ నమూనా	ವ್ಯತಿಕರಣ ಮಾದರಿ	girişim deseni	interferentsioonmuster	interferenciona slika	간섭 패턴	interferenssikuvio	interferenciakép	интерференчна картина	குறுக்கீட்டு வடிவம்	pola interferensi	نمط التداخل	الگوی تداخل	انٹرفیرنس پیٹرن	תבנית התאבכות	schema di interferenza	padrão de interferência	интерференционная картина	інтерференційна картина	wzór interferencyjny	interferenční obraz	interferentiepatroon	interferensmönster	pattern de interferentia	σχήμα παρεμβολής	patró d'interferència	model de interferență	mẫu giao thoa	interferenču raksts	interferencijos vaizdas	ഇന്റർഫറൻസ് പാറ്റേൺ	ব্যতিচার প্যাটার্ন	รูปแบบการแทรกสอด	corak gangguan	interferensmønster	interferensmønster	truflunarmynd	interferencijski obrazac	interferenčný obraz	interferenčni vzorec	mshindo wa mwingiliano	patrwm ymyrraeth	interferentzia-eredua	ինտերֆերենցիոն պատկեր	ინტერფერენციის სურათი	ទម្រង់អន្តរាគមន៍	အပြန်အလှန်သက်ရောက်မှုပုံစံ	modeli i interferencës	interferensiepatroon	patrón de interferencia	padron ng interperensiya	интерференциски шаблон	interferensiya mənzarəsi	व्यतिकरण नमुना	व्यतिकरण ढाँचा	інтэрферэнцыйная карціна	patrún trasnaíochta	ຮູບແບບການແຊກສອດ	интерференцийн хээ	ව්‍යටිකරණ රටාව
distribution	distribution	distribución	Verteilung	分布	分布	distribuo	वितरण	పంపిణీ	ವಿತರಣೆ	dağılım	jaotus	distribucija	분포	jakauma	eloszlás	разпределение	பரவல்	distribusi	توزيع	توزیع	تقسیم	התפלגות	distribuzione	distribuição	распределение	розподіл	rozkład	distribuce	verdeling	fördelning	distribution	κατανομή	distribució	distribuție	sự phân bố	sadale	skirstymas	വിതരണം	বণ্টন	การกระจาย	taburan	distribution	fordeling	dreifing	distribucija	distribúcia	distribucija	usambazaji	dosbarthiad	banaketa	բաշխում	განაწილება	ការបែងចែក	ပျံ့နှံ့မှု	shpërndarja	verspreiding	distribución	distribusyon	распределба	paylanma	वितरण	वितरण	размеркаванне	daonadh	ການກະຈາຍ	тархалт	බෙදා හැරීම
law of psi squared	loi du psi au carré	ley de psi al cuadrado	Gesetz von Psi Quadrat	プサイ二乗の法則	psi 平方定律	leĝo de psi kvadrata	साई स्क्वायर का नियम	ప్సై వర్గ నియమం	ಪ್ಸೈ ವರ್ಗದ ನಿಯಮ	psi kare yasası	psi ruudu seadus	zakon psi na kvadrat	프사이 제곱의 법칙	psi neliön laki	psi négyzet törvénye	закон за пси на квадрат	psi வர்க்க விதி	hukum psi kuadrat	قانون مربع psi	قانون پسی به توان دو	سائی اسکوائر کا قانون	חוק פסי בריבוע	legge di psi quadro	lei do psi ao quadrado	закон пси в квадрате	закон псі у квадраті	prawo psi do kwadratu	zákon psi na druhou	wet van psi in het kwadraat	lagen om psi i kvadrat	lego de psi quadrato	νόμος του ψ²	llei de psi al quadrat	legea lui psi la pătrat	định luật psi bình phương	psi kvadrāta likums	psi kvadrato dėsnis	ψ² നിയമം	সাই স্কোয়ার-এর সূত্র	กฎของ psi กำลังสอง	hukum psi kuasa dua	loven om psi i anden	loven om psi i andre	lög um psi í öðru	zakon psi na kvadrat	zákon psi na druhú	zakon psi na kvadrat	sheria ya psi kipeo cha pili	cyfraith psi sgwar	psi kuadratuen legea	պսիի քառակուսու օրենք	psi კვადრატის კანონი	ច្បាប់ psi ការ៉េ	psi နှစ်ထပ်ကိန်း နိယာမ	ligji i psi në katror	wet van psi-kwadraat	lei de psi ao cadrado	batas ng psi na kuwadrado	закон за пси на квадрат	psi kvadrat qanunu	psi च्या वर्गाचा नियम	psi को वर्गको नियम	закон псі ў квадраце	dlí psi cearnraithe	ກົດຂອງ psi ກຳລັງສອງ	psi квадратын хууль	psi වර්ගයේ නියමය
experimental proof	preuve expérimentale	prueba experimental	experimenteller Beweis	実験的証明	实验证明	eksperimenta pruvo	प्रायोगिक प्रमाण	ప్రయోగాత్మక నిరూపణ	ಪ್ರಾಯೋಗಿಕ ಪುರಾವೆ	deneysel kanıt	eksperimentaalne tõend	eksperimentalni dokaz	실험적 증명	kokeellinen todistus	kísérleti bizonyíték	експериментално доказателство	சோதனைமுறை ஆதாரம்	bukti eksperimental	إثبات تجريبي	اثبات تجربی	تجربی ثبوت	הוכחה ניסיונית	prova sperimentale	prova experimental	экспериментальное доказательство	експериментальне підтвердження	dowód eksperymentalny	experimentální důkaz	experimenteel bewijs	experimentellt bevis	probation experimental	πειραματική απόδειξη	prova experimental	dovadă experimentală	bằng chứng thực nghiệm	eksperimentāls pierādījums	eksperimentinis įrodymas	പരീക്ഷണാത്മക തെളിവ്	পরীক্ষামূলক প্রমাণ	ข้อพิสูจน์ทางทดลอง	bukti eksperimen	eksperimentelt bevis	eksperimentelt bevis	tilraunaleg sönnun	eksperimentalni dokaz	experimentálny dôkaz	eksperimentalni dokaz	uthibitisho wa majaribio	prawf arbrofol	froga esperimentala	փորձարարական ապացույց	ექსპერიმენტული მტკიცებულება	ភស្តុតាងពិសោធន៍	လက်တွေ့စမ်းသပ်မှုဆိုင်ရာ သက်သေ	provë eksperimentale	eksperimentele bewys	proba experimental	eksperimental na patunay	експериментален доказ	eksperimental sübut	प्रायोगिक पुरावा	प्रयोगात्मक प्रमाण	эксперыментальнае пацверджанне	cruthúnas turgnamhach	ຫຼັກຖານທາງການທົດລອງ	туршилтын нотолгоо	පරීක්ෂණාත්මක සාක්ෂිය
conservation	conservation	conservación	Erhaltung	保存	守恒	konservado	संरक्षण	సంరక్షణ	ಸಂರಕ್ಷಣೆ	korunum	konserveerimine	zakon očuvanja	보존	säilyminen	megmaradás	запазване	காப்பு	kekekalan	حفظ	پایستگی	تحفظ	שימור	conservazione	conservação	сохранение	збереження	zachowanie	zachování	behoud	bevarande	conservation	διατήρηση	conservació	conservare	sự bảo toàn	saglabāšanās	tvermė	സംരക്ഷണം	সংরক্ষণ	การอนุรักษ์	keabadian	bevarelse	bevaring	varðveisla	čuvanje	zachovanie	ohranitev	uhifadhi	cadw	kontserbazioa	պահպանություն	შენარჩუნება	ការអភិរក្ស	တည်မြဲမှု	konservimi	bewaring	conservación	konserbasyon	зачувување	qorunma	संवर्धन	संरक्षण	захаванне	caomhnú	ການຮັກສາ	хадгалагдал	සංරක්ෂණය
total probability	probabilité totale	probabilidad total	Gesamtwahrscheinlichkeit	全確率	总概率	totala probablo	कुल प्रायिकता	మొత్తం సంభావ్యత	ಒಟ್ಟು ಸಂಭವನೀಯತೆ	toplam olasılık	kogu tõenäosus	ukupna verovatnoća	전체 확률	kokonaistodennäköisyys	teljes valószínűség	обща вероятност	மொத்த நிகழ்தகவு	probabilitas total	الاحتمالية الكلية	احتمال کل	کل احتمال	הסתברות כוללת	probabilità totale	probabilidade total	полная вероятность	загальна ймовірність	prawdopodobieństwo całkowite	celková pravděpodobnost	totale waarschijnlijkheid	total sannolikhet	probabilitate total	συνολική πιθανότητα	probabilitat total	probabilitate totală	tổng xác suất	kopējā varbūtība	bendra tikimybė	ആകെ സാധ്യത	মোট সম্ভাবনা	ความน่าจะเป็นรวม	jumlah kebarangkalian	samlet sandsynlighed	totalsannsynlighet	heildarlíkur	ukupna vjerojatnost	celková pravdepodobnosť	skupna verjetnost	jumla ya uwezekano	cyfanswm tebygolrwydd	probabilitate totala	ընդհանուր հավանականություն	საერთო ალბათობა	ប្រូបាប៊ីលីតេសរុប	စုစုပေါင်း ဖြစ်နိုင်ခြေ	probabiliteti total	totale waarskynlikheid	probabilidade total	kabuuang probabilidad	вкупна веројатност	ümumi ehtimal	एकूण संभाव्यता	कुल सम्भाव्यता	сумарная імавернасць	dóchúlacht iomlán	ຄວາມໜ້າຈະເປັນທັງໝົດ	нийт магадлал	මුළු සම්භාවිතාව
universe	univers	universo	Universum	宇宙	宇宙	universumo	ब्रह्मांड	విశ్వం	ವಿಶ್ವ	evren	universum	univerzum	우주	universumi	univerzum	вселена	பேரண்டம்	alam semesta	الكون	جهان	کائنات	יקום	universo	universo	вселенная	всесвіт	wszechświat	vesmír	universum	universum	universo	σύμπαν	univers	univers	vũ trụ	visums	visata	പ്രപഞ്ചം	মহাবিশ্ব	เอกภพ	alam semesta	univers	univers	alheimur	svemir	vesmír	vesolje	ulimwengu	bydysawd	unibertsoa	տիեզերություն	სამყარო	សកលលោក	စကြဝဠာ	universi	heelal	universo	uniberso	универзум	kainat	विश्व	ब्रह्माण्ड	сусвет	cruinne	ຈັກກະວານ	орчлон ертөнц	විශ්වය
classical optics	optique classique	óptica clásica	klassische Optik	古典光学	经典光学	klasika optiko	शास्त्रीय प्रकाशिकी	క్లాసికల్ ఆప్టిక్స్	ಸಾಂಪ್ರದಾಯಿಕ ದೃಗ್ವಿಜ್ಞಾನ	klasik optik	klassikaline optika	klasična optika	고전 광학	klassinen optiikka	klasszikus optika	класическа оптика	செவ்வியல் ஒளியியல்	optik klasik	البصريات الكلاسيكية	نورشناسی کلاسیک	کلاسک آپٹکس	אופטיקה קלאסית	ottica classica	óptica clássica	классическая оптика	класична оптика	optyka klasyczna	klasická optika	klassieke optica	klassisk optik	optica classice	κλασική οπτική	òptica clàssica	optică clasică	quang học cổ điển	klasiskā optika	klasikinė optika	ക്ലാസിക്കൽ ഒപ്റ്റിക്സ്	ধ্রুপদী আলোকবিজ্ঞান	ทัศนศาสตร์แบบคลาสสิก	optik klasik	klassisk optik	klassisk optikk	hefðbundin sjónfræði	klasična optika	klasická optika	klasična optika	optiki ya klasiki	opteg glasurol	optika klasikoa	դասական օպտիկա	კლასიკური ოპტიკა	អុបទិកបុរាណ	ဂန္ထဝင် အလင်းပညာ	optika klasike	klassieke optika	óptica clásica	klasikong optika	класична оптика	klassik optika	शास्त्रीय प्रकाशशास्त्र	शास्त्रीय प्रकाशशास्त्र	класічная оптыка	optaic chlasaiceach	ທັດສະນະສາດແບບຄລາສສິກ	сонгодог оптик	සම්භාව්‍ය ප්‍රකාශ විද්‍යාව
energy	énergie	energía	Energie	エネルギー	能量	energio	ऊर्जा	శక్తి	ಶಕ್ತಿ	enerji	energia	energija	에너지	energia	energia	енергия	ஆற்றல்	energi	الطاقة	انرژی	توانائی	אנרגיה	energia	energia	энергия	енергія	energia	energie	energie	energi	energia	ενέργεια	energia	energie	năng lượng	enerģija	energija	ഊർജ്ജം	শক্তি	พลังงาน	tenaga	energi	energi	orka	energija	energia	energija	nishati	egni	energia	էներգիա	ენერგია	ថាមពល	စွမ်းအင်	energjia	energie	enerxía	enerhiya	енергија	enerji	ऊर्जा	ऊर्जा	энергія	fuinneamh	ພະລັງງານ	энерги	ශක්තිය
light wave	onde lumineuse	onda de luz	Lichtwelle	光波	光波	lumondo	प्रकाश तरंग	కాంతి తరంగం	ಬೆಳಕಿನ ತರಂಗ	ışık dalgası	valguslaine	svetlosni talas	빛의 파동	valoaalto	fényhullám	светлинна вълна	ஒளி அலை	gelombang cahaya	موجة ضوئية	موج نور	روشنی کی لہر	גל אור	onda luminosa	onda de luz	световая волна	світлова хвиля	fala świetlna	světelná vlna	lichtgolf	ljusvåg	unda de luce	φωτοκύμα	ona de llum	undă luminoasă	sóng ánh sáng	gaismas viļnis	šviesos banga	പ്രകാശ തരംഗം	আলোক তরঙ্গ	คลื่นแสง	gelombang cahaya	lysbølge	lysbølge	ljósbylgja	svjetlosni val	svetelná vlna	svetlobni val	wimbi la mwanga	ton golau	argizko olatua	լույսի ալիք	სინათლის ტალღა	រលកពន្លឺ	အလင်းလှိုင်း	vala e dritës	liggolf	onda de luz	alon ng liwanag	светлосен бран	işıq dalğası	प्रकाशलहर	प्रकाश तरङ्ग	светлавая хваля	tonn solais	ຄື້ນແສງ	гэрлийн долгион	ආලෝක තරංගය
brilliance	brillance	brillo	Brillanz	輝度	亮度	brilo	चमक	ప్రకాశం	ಪ್ರಭತ್ವ	parlaklık	hiilgus	sjaj	휘도	kirkkaus	fényerő	блясък	பிரகாசம்	kecemerlangan	سطوع	درخشندگی	چمک	בהירות	brillanza	brilho	яркость	яскравість	jasność	jas	intensiteit	ljusstyrka	brillantia	λαμπρότητα	bril·lança	brilanță	độ chói	spožums	spindesys	തിളക്കം	তেজস্বিতা	ความสว่างจ้า	kecerahan	briljans	briljans	ljómi	sjaj	jas	sijaj	mng'ao	disgleirdeb	distirra	փայլ	ბრწყინვალება	ភាពភ្លឺច្បាស់	တောက်ပမှု	shkëlqimi	briljansie	brillo	ningning	блескавост	parlaqlıq	प्रखरता	चमक	блыск	soilseacht	ຄວາມສະຫວ່າງ	гялалзсан байдал	දීප්තිමත් බව
electric field	champ électrique	campo eléctrico	elektrisches Feld	電場	电场	elektra kampo	विद्युत क्षेत्र	విద్యుత్ క్షేత్రం	ವಿದ್ಯುತ್ ಕ್ಷೇತ್ರ	elektrik alanı	elektriväli	električno polje	전기장	sähkökenttä	elektromos mező	електрическо поле	மின்புலம்	medan listrik	مجال كهربائي	میدان الکتریکی	برقی میدان	שדה חשמלי	campo elettrico	campo elétrico	электрическое поле	електричне поле	pole elektryczne	elektrické pole	elektrisch veld	elektriskt fält	campo electric	ηλεκτρικό πεδίο	camp elèctric	câmp electric	điện trường	elektriskais lauks	elektrinis laukas	വൈദ്യുത മണ്ഡലം	তড়িৎ ক্ষেত্র	สนามไฟฟ้า	medan elektrik	elektrisk felt	elektrisk felt	rafsvið	električno polje	elektrické pole	električno polje	uwanja wa umeme	maes trydan	eremu elektrikoa	էլեկտրական դաշտ	ელექტრული ველი	មណ្ឌលអគ្គិសនី	လျှပ်စစ်စက်ကွင်း	fusha elektrike	elektriese veld	campo eléctrico	elektrikong larangan	електрично поле	elektrik sahəsi	विद्युत क्षेत्र	विद्युत क्षेत्र	электрычнае поле	réimse leictreach	ສະໜາມໄຟຟ້າ	цахилгаан талбар	විද්‍යුත් ක්ෂේත්‍රය
probability of presence	probabilité de présence	probabilidad de presencia	Aufenthaltswahrscheinlichkeit	存在確率	存在概率	probablo de ĉeesto	उपस्थिति की प्रायिकता	ఉనికి యొక్క సంభావ్యత	ಇರುವಿಕೆಯ ಸಂಭವನೀಯತೆ	bulunma olasılığı	olemasolu tõenäosus	verovatnoća prisustva	존재 확률	läsnäolon todennäköisyys	megtalálási valószínűség	вероятност за присъствие	இருப்பதற்கான நிகழ்தகவு	probabilitas keberadaan	احتمالية الوجود	احتمال حضور	موجودگی کا احتمال	הסתברות למציאות	probabilità di presenza	probabilidade de presença	вероятность присутствия	ймовірність перебування	prawdopodobieństwo obecności	pravděpodobnost výskytu	aanwezigheidskans	sannolikhet för närvaro	probabilitate de presence	πιθανότητα παρουσίας	probabilitat de presència	probabilitatea de prezență	xác suất hiện diện	atrašanās varbūtība	buvimo tikimybė	സാന്നിധ്യത്തിന്റെ സാധ്യത	উপস্থিতির সম্ভাবনা	ความน่าจะเป็นของการปรากฏ	kebarangkalian kehadiran	sandsynlighed for tilstedeværelse	sannsynlighet for tilstedeværelse	líkur á nærveru	vjerojatnost prisutnosti	pravdepodobnosť prítomnosti	verjetnost prisotnosti	uwezekano wa kuwepo	tebygolrwydd presenolrwydd	presentzia-probabilitatea	առկայության հավանականություն	მყოფობის ალბათობა	ប្រូបាប៊ីលីតេនៃវត្តមាន	တည်ရှိနိုင်ခြေ	probabiliteti i pranishmërisë	waarskynlikheid van aanwesigheid	probabilidade de presenza	probabilidad ng presensya	веројатност за присуство	mövcudluq ehtimalı	उपस्थितीची संभाव्यता	उपस्थितिको सम्भाव्यता	імавернасць прысутнасці	dóchúlacht láithreachta	ຄວາມໜ້າຈະເປັນໃນການມີຢູ່	байх магадлал	පවතින සම්භාවිතාව
quantum particle	particule quantique	partícula cuántica	Quantenteilchen	量子粒子	量子粒子	kvantuma partiklo	क्वांटम कण	క్వాంటం కణం	ಕ್ವಾಂಟಮ್ ಕಣ	kuantum parçacığı	kvantosake	kvantna čestica	양자 입자	kvanttihiukkanen	kvantumrészecske	квантова частица	குவாண்டம் துகள்	partikel kuantum	جسيم كمي	ذره کوانتومی	کوانٹم ذرہ	חלקיק קוונטי	particella quantistica	partícula quântica	квантовая частица	квантова частинка	cząstka kwantowa	kvantová částice	quantumdeeltje	kvantpartikel	particula quantic	κβαντικό σωματίδιο	partícula quàntica	particulă cuantică	hạt lượng tử	kvantu daļiņa	kvantinė dalelė	ക്വാണ്ടം കണിക	কোয়ান্টাম কণা	อนุภาคควอนตัม	zarah kuantum	kvantepartikel	kvantepartikkel	skammtaeind	kvantna čestica	kvantová častica	kvantni delec	chembe ya kwanta	gronyn cwantwm	partikula kuantikoa	կվանտային մասնիկ	კვანტური ნაწილაკი	ភាគល្អិតកង់ទុយ	ကွမ်တမ်အမှုန်	grimca kuantike	kwantumdeeltjie	partícula cuántica	partikulong quantum	квантна честичка	kvant zərrəciyi	क्वांटम कण	क्वान्टम कण	квантавая часціца	cáithnín chandamach	ອະນຸພາກຄວອນຕຳ	квант бөөм	ක්වොන්ටම් අංශුව
mathematical law	loi mathématique	ley matemática	mathematisches Gesetz	数学的法則	数学定律	matematika leĝo	गणितीय नियम	గణిత నియమం	ಗಣಿತೀಯ ನಿಯಮ	matematiksel yasa	matemaatiline seadus	matematički zakon	수학적 법칙	matemaattinen laki	matematikai törvény	математически закон	கணித விதி	hukum matematika	قانون رياضي	قانون ریاضی	ریاضیاتی قانون	חוק מתמטי	legge matematica	lei matemática	математический закон	математичний закон	prawo matematyczne	matematický zákon	wiskundige wet	matematisk lag	lego mathematic	μαθηματικός νόμος	llei matemàtica	lege matematică	định luật toán học	matemātiskais likums	matematinis dėsnis	ഗണിത നിയമം	গাণিতিক সূত্র	กฎทางคณิตศาสตร์	hukum matematik	matematisk lov	matematisk lov	stærðfræðileg lög	matematički zakon	matematický zákon	matematični zakon	sheria ya hisabati	cyfraith fathemategol	matematika-legea	մաթեմատիկական օրենք	მათემატიკური კანონი	ច្បាប់គណិតវិទ្យា	သင်္ချာဆိုင်ရာနိယာမ	ligj matematikor	wiskundige wet	lei matemática	matematikong batas	математички закон	riyazi qanun	गणितीय नियम	गणितीय नियम	матэматычны закон	dlí matamaiticiúil	ກົດທາງຄະນິດສາດ	математик хууль	ගණිතමය නියමය
spatial width	largeur spatiale	ancho espacial	räumliche Breite	空間的幅	空间宽度	spaca larĝeco	स्थानिक चौड़ाई	స్థానీయ వెడల్పు	ಸ್ಥಳದ ಅಗಲ	uzaysal genişlik	ruumiline laius	prostorna širina	공간적 너비	avaruudellinen leveys	térbeli szélesség	пространствена ширина	இடஞ்சார்ந்த அகலம்	lebar spasial	العرض المكاني	عرض مکانی	مکانی چوڑائی	רוחב מרחבי	larghezza spaziale	largura espacial	пространственная ширина	просторова ширина	szerokość przestrzenna	prostorová šířka	ruimtelijke breedte	rumslig bredd	largitate spatial	χωρικό πλάτος	amplada espacial	lățime spațială	độ rộng không gian	telpiskais platums	erdvinis plotis	സ്ഥലപരമായ വീതി	স্থানিক প্রস্থ	ความกว้างเชิงพื้นที่	lebar ruang	rumlig bredde	romlig bredde	rúmleg breidd	prostorna širina	priestorová šírka	prostorska širina	upana wa nafasi	lled gofodol	zabalera espaziala	տարածական լայնություն	სივრცული სიგანე	ទទឹងលំហ	ဟင်းလင်းပြင် အကျယ်	gjerësia hapësinore	ruimtelike breedte	largura espacial	espasyal na lapad	просторна ширина	məkan genişliyi	स्थानिक रुंदी	स्थानिक चौडाइ	прасторавая шырыня	leithead spásúil	ຄວາມກວ້າງທາງພື້ນທີ່	орон зайн өргөн	අවකාශීය පළල
