English	German	Japanese	Chinese	Esperanto	Hindi	Telugu	Kannada	Turkish	Estonian	Serbian	Korean	Finnish	Hungarian	Bulgarian
probability wave	Wahrscheinlichkeitswelle	確率波	概率波	probabla ondo	प्रायिकता तरंग	సంభావ్యత తరంగం	ಸಂಭವನೀಯತೆ ತರಂಗ	olasılık dalgası	tõenäosuslaine	talas verovatnoće	확률 파동	todennäköisyysaalto	valószínűséghullám	вълна на вероятността
square amplitude	Quadrat der Amplitude	振幅の二乗	振幅平方	kvadrata amplitudo	वर्ग आयाम	వర్గ విస్తృతి	ವರ್ಗ ವ್ಯಾಪ್ತಿ	genlik karesi	amplituudi ruut	kvadrat amplitude	진폭의 제곱	amplitudin neliö	amplitūdónégyzet	квадрат на амплитудата
classical waves	klassische Wellen	古典的な波	经典波	klasikaj ondoj	शास्त्रीय तरंगें	క్లాసికల్ తరంగాలు	ಸಾಂಪ್ರದಾಯಿಕ ತರಂಗಗಳು	klasik dalgalar	klassikalised lained	klasični talasi	고전적 파동	klassiset aallot	klasszikus hullámok	класически вълни
uncertainty principle	Unschärferelation	不確定性原理	不确定性原理	necertenca principo	अनिश्चितता सिद्धांत	అనిశ్చితి సూత్రం	ಅನಿಶ್ಚಿತತಾ ತತ್ವ	belirsizlik ilkesi	määramatuse printsiip	princip neodređenosti	불확정성 원리	epätarkkuusperiaate	határozatlansági elv	принцип на неопределеността
diffraction	Beugung	回折	衍射	difrakcio	विवर्तन	వివర్తనం	ವಿವರ್ತನೆ	kırınım	difraktsioon	difrakcija	회절	diffraktio	diffrakció	дифракция
resolution limit	Auflösungsgrenze	解像度限界	分辨率极限	rezolucia limo	रिज़ॉल्यूशन सीमा	రెజల్యూషన్ పరిమితి	ರೆಸಲ್ಯೂಶನ್ ಮಿತಿ	çözünürlük limiti	erilahuvõime piir	limit rezolucije	해상도 한계	resoluution raja	felbontási határérték	граница на разделителната способност
quantum reality	Quantenrealität	量子的現実	量子现实	kvantuma realeco	क्वांटम वास्तविकता	క్వాంటం వాస్తవికత	ಕ್ವಾಂಟಮ್ ವಾಸ್ತವ	kuantum gerçekliği	kvantreaalsus	kvantna stvarnost	양자 실재	kvanttitodellisuus	kvantumvalóság	квантова реалност
microscope	Mikroskop	顕微鏡	显微镜	mikroskopo	सूक्ष्मदर्शी	సూక్ష్మదర్శిని	ಸೂಕ್ಷ್ಮದರ್ಶಕ	mikroskop	mikroskoop	mikroskop	현미경	mikroskooppi	mikroszkóp	микроскоп
laws of waves	Wellengesetze	波の法則	波动定律	leĝoj de ondoj	तरंगों के नियम	తరంగాల నియమాలు	ತರಂಗಗಳ ನಿಯಮಗಳು	dalga yasaları	lainete seadused	zakoni talasa	파동의 법칙	aaltolait	hullámtörvények	закони на вълните
classical mechanics	klassische Mechanik	古典力学	经典力学	klasika mekaniko	शास्त्रीय यांत्रिकी	క్లాసికల్ మెకానిక్స్	ಸಾಂಪ್ರದಾಯಿಕ ಯಾಂತ್ರಿಕಶಾಸ್ತ್ರ	klasik mekanik	klassikaline mehaanika	klasična mehanika	고전 역학	klassinen mekaniikka	klasszikus mechanika	класическа механика
square of the amplitude	Quadrat der Amplitude	振幅の二乗	振幅的平方	kvadrato de la amplitudo	आयाम का वर्ग	విస్తృతి యొక్క వర్గం	ವ್ಯಾಪ್ತಿಯ ವರ್ಗ	genliğin karesi	amplituudi ruut	kvadrat amplitude	진폭의 제곱	amplitudin neliö	amplitūdó négyzete	квадрат на амплитудата
physical quantity	physikalische Größe	物理量	物理量	fizika kvantumo	भौतिक राशि	భౌతిక రాశి	ಭೌತಿಕ ಪ್ರಮಾಣ	fiziksel nicelik	füüsikaline suurus	fizička veličina	물리량	fyysinen suure	fizikai mennyiség	физична величина
